id;nom;taille;date_de_naissance;couleur_cheveux;coiffure;photo;photo_content_type
1;invoice Rand;54805;2021-02-26T08:00:25;ROUX;Savings Account Sudanese Pound;../fake-data/blob/hipster.png;image/png
2;emulation;8152;2021-02-25T19:30:21;BRUN;Jordan Bedfordshire Architect;../fake-data/blob/hipster.png;image/png
3;Buckinghamshire interfaces;89517;2021-02-26T11:58:00;ROUX;New Zealand Dollar Intelligent Frozen Gloves Security;../fake-data/blob/hipster.png;image/png
4;Arizona Team-oriented;99361;2021-02-26T07:31:07;CHATAIN;payment 6th generation mesh;../fake-data/blob/hipster.png;image/png
5;North Dakota;55127;2021-02-26T09:57:59;BRUN;Small Wooden Chicken Regional Wooden;../fake-data/blob/hipster.png;image/png
6;Infrastructure auxiliary;92270;2021-02-26T13:04:19;BLANC;Investment Account;../fake-data/blob/hipster.png;image/png
7;orchestration transmitting;46344;2021-02-26T11:12:52;AUTRE;Guam plum Granite;../fake-data/blob/hipster.png;image/png
8;reboot;35405;2021-02-26T11:30:42;BLOND;capacity Function-based;../fake-data/blob/hipster.png;image/png
9;transition;72085;2021-02-26T03:51:12;AUTRE;port;../fake-data/blob/hipster.png;image/png
10;Place;93789;2021-02-26T09:16:31;ROUX;Team-oriented synthesize Oklahoma;../fake-data/blob/hipster.png;image/png
